#ies_format_version: 1.0
#file: 20260205_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec61850_measurement1;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Mod.stVal
#005;	iec61850_measurement2;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Mod.ctlModel
#006;	iec61850_measurement3;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Beh.stVal
#007;	iec61850_measurement4;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Health.stVal
#008;	iec61850_measurement5;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Loc.stVal
#009;	modbus_register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
#010;	modbus_register2;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec61850_measurement1;	iec61850_measurement2;	iec61850_measurement3;	iec61850_measurement4;	iec61850_measurement5;	modbus_register1;	modbus_register2
20260205;	174504;	1770293704.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174508;	1770293708.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174512;	1770293712.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174516;	1770293716.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174520;	1770293720.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174524;	1770293724.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174528;	1770293728.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174532;	1770293732.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174536;	1770293736.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174540;	1770293740.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174544;	1770293744.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174548;	1770293748.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174552;	1770293752.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174556;	1770293756.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174600;	1770293760.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174604;	1770293764.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174608;	1770293768.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174612;	1770293772.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174616;	1770293776.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174620;	1770293780.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174624;	1770293784.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174628;	1770293788.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174632;	1770293792.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174636;	1770293796.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174640;	1770293800.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174644;	1770293804.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174648;	1770293808.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174652;	1770293812.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174656;	1770293816.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174700;	1770293820.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174704;	1770293824.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174708;	1770293828.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174712;	1770293832.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174716;	1770293836.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174720;	1770293840.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174724;	1770293844.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174728;	1770293848.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174732;	1770293852.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174736;	1770293856.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	174740;	1770293860.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
